File,epsilon_inf,t_sw,t_au,m,n,chi,reduced_chi,R_sq
e_054_27,-2574.0812715626644,26070.29953664148,414.57889285707466,2.229640867000819e-30,4.999999999999526,1020.2330566960339,1020.2330566960340.8535130099507944,
e_076_01,-1250.6687412895376,1197.8059297386144,6.944019316611644,0.0059555148128653925,4.999999996850376,1.0539516451919642e-06,1.0539516451919642e-060.9999999997992014,
e_076_03,3913.8242863698747,55.819225077234115,29.73584115844648,4.999999999999999,4.999999999999999,68372.46466281313,4558.1643108542090.4834037837694656,
e_076_05,6695.782024117794,62.829650841389075,29.021264303403388,4.999999999999999,4.999999999999999,42196.83530238834,3245.9104078760260.7597395573028798,
e_076_07,9917.009621879792,0.4568746326740073,25.739306600282468,4.999443980937065,4.999999999999999,63636.829719378264,7954.6037149222820.7460165337953124,
e_076_09,1056.9480471600862,164.4947006747138,16.371660767952562,4.999999999999999,1.9704355329988656,9223.181220818173,922.31812208181710.08967714153597284,
e_076_11,20771.415840366153,2.5759083994702525,399.7979846391602,3.0251048498843534,4.9999999999998055,124716.41805954005,13857.3797843933390.2513199428948,
e_076_13,13428.41074014578,6.151849148745542,376.2763667719025,4.999999812182941,4.999999999999999,351659.66018986097,35165.9660189860950.35275263055922834,
e_083_04,3078.4542398189155,0.027657677684476262,6.8225154729719595,4.999986152270254,1.5991376239577642,1223.7323687467922,48.949294749871690.987512184427111,
e_083_06,2136.9175715562187,1320.905155657898,6.352491355114343,4.355733839634873e-22,1.2916239059206238,426.04134099400255,35.5034450828335440.987539360587787,
e_083_08,2084.488719339974,214262.49696381844,6.3408721347333765,1.0171676642875443e-26,1.8775414049687016,1060.0844649498047,42.403378597992190.970865227879211,
e_083_10,1634.6574108902505,141.61218113847403,4.603116077679534,3.2533613260265954,2.763458166983311,599.2219138294719,31.5379954647090450.9772442934972018,
e_086_03,1647.9972265791464,3928.487170451126,81.77382101410245,1.477706618902534e-22,2.2124157681718044,314.8785000599288,24.221423081532990.9700617852539459,
