File,wb,ab,t dry,t,shrinkage strain
A_047_04,0.2254349424160745,1.2447929429061504,0.25,4.037863696969697,-658.5595174947787
A_047_04,0.2254349424160745,1.2447929429061504,0.25,4.321286212121212,-664.4195075161518
A_047_04,0.2254349424160745,1.2447929429061504,0.25,4.604708727272727,-669.5179592783013
A_047_04,0.2254349424160745,1.2447929429061504,0.25,4.888131242424242,-673.9870010866923
A_047_04,0.2254349424160745,1.2447929429061504,0.25,5.171553757575757,-677.930726802665
A_047_04,0.2254349424160745,1.2447929429061504,0.25,5.454976272727272,-681.4321143044941
A_047_04,0.2254349424160745,1.2447929429061504,0.25,5.738398787878787,-684.5580210311402
A_047_04,0.2254349424160745,1.2447929429061504,0.25,6.021821303030302,-687.3628452575903
A_047_04,0.2254349424160745,1.2447929429061504,0.25,6.305243818181817,-689.8912464866967
A_047_04,0.2254349424160745,1.2447929429061504,0.25,6.588666333333332,-692.1801924025623
A_047_04,0.2254349424160745,1.2447929429061504,0.25,6.8720888484848475,-694.2605171272843
A_047_04,0.2254349424160745,1.2447929429061504,0.25,7.155511363636363,-696.1581202935852
A_047_04,0.2254349424160745,1.2447929429061504,0.25,7.4389338787878785,-697.8948989823328
A_047_04,0.2254349424160745,1.2447929429061504,0.25,7.7223563939393935,-699.489478788197
A_047_04,0.2254349424160745,1.2447929429061504,0.25,8.005778909090909,-700.9577922854224
A_047_04,0.2254349424160745,1.2447929429061504,0.25,8.289201424242423,-702.3135404521922
A_047_04,0.2254349424160745,1.2447929429061504,0.25,8.572623939393937,-703.5685635205316
A_047_04,0.2254349424160745,1.2447929429061504,0.25,8.856046454545453,-704.733141144387
A_047_04,0.2254349424160745,1.2447929429061504,0.25,9.139468969696967,-705.8162369744532
A_047_04,0.2254349424160745,1.2447929429061504,0.25,9.422891484848483,-706.8256991831335
A_047_04,0.2254349424160745,1.2447929429061504,0.25,9.706313999999999,-707.7684258424874
A_047_04,0.2254349424160745,1.2447929429061504,0.25,9.989736515151513,-708.6505020740533
A_047_04,0.2254349424160745,1.2447929429061504,0.25,10.27315903030303,-709.4773143864348
A_047_04,0.2254349424160745,1.2447929429061504,0.25,10.556581545454543,-710.253646469006
A_047_04,0.2254349424160745,1.2447929429061504,0.25,10.84000406060606,-710.9837598274572
A_047_04,0.2254349424160745,1.2447929429061504,0.25,11.123426575757573,-711.6714619632675
A_047_04,0.2254349424160745,1.2447929429061504,0.25,11.40684909090909,-712.3201642661327
A_047_04,0.2254349424160745,1.2447929429061504,0.25,11.690271606060604,-712.9329313701415
A_047_04,0.2254349424160745,1.2447929429061504,0.25,11.97369412121212,-713.5125233943197
