File,wb,ab,t dry,t,shrinkage strain
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1150.3115744444444,-259.1371007174213
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1175.2738088888889,-261.48161428717066
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1200.2360433333333,-263.8245719019911
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1225.1982777777778,-266.1654789813718
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1250.1605122222222,-268.5038676055285
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1275.1227466666667,-270.8392959073758
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1300.0849811111111,-273.17134734452475
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1325.0472155555556,-275.4996298841236
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1350.00945,-277.82377512703636
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1374.9716844444445,-280.1434373926768
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1399.933918888889,-282.45829278156987
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1424.8961533333334,-284.76803822924455
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1449.8583877777778,-287.07239056221346
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1474.8206222222223,-289.3710855644677
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1499.7828566666667,-291.6638770610142
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1524.7450911111112,-293.950536023425
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1549.7073255555556,-296.23084970110676
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1574.66956,-298.5046207809627
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1599.6317944444445,-300.7716665772941
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1624.594028888889,-303.03181825310355
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1649.5562633333334,-305.28492007343186
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1674.5184977777778,-307.530828690922
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1699.4807322222223,-309.7694124634619
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1724.4429666666667,-312.0005508034926
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1749.4052011111112,-314.2241335583568
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1774.3674355555556,-316.4400604209081
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1799.32967,-318.64824036947874
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1824.2919044444445,-320.84859113622724
A_086_14,0.3521730528259579,3.7369473938754414,1.0,1849.254138888889,-323.04103870281926
