Unnamed: 0,File,type,Geometry,timescale,w/c,a/c,c,t dry,SiO2,FlyAsh,dt,shrinkage strain,t,wb,ab
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,500.0,-67.0,680.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,590.0,-85.0,770.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,743.0,-97.0,923.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,743.0,-97.0,923.0,0.47,4.5
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,29.51509,14.35428,119.51509,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,42.25631,18.2286,132.25630999999998,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,72.16724,28.644240000000003,162.16724,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,98.78773,37.74864,188.78773,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,127.808,32.32063,217.808,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,155.7645,35.1905,245.7645,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,181.2222,36.38793,271.2222,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,210.1188,38.20386,300.1188,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,238.9411,40.36616,328.9411,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,267.0213,35.99208,357.0213,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,297.2291,35.02227,387.2291,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,324.0722,33.08758,414.0722,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,349.901,32.55319,439.901,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,379.9852,28.82731,469.9852,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,409.6487,23.73083,499.6487,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,439.4112,24.83919,529.4112,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,468.1346,20.79664,558.1346,0.426,4.624
124,e_037_02,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,468.1346,20.79664,558.1346,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,21.227120000000006,-0.30183000000000004,111.22712,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,48.63929,-1.55863,138.63929000000002,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,78.20385999999998,-2.85997,168.20386000000005,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,98.36714,-3.62197,188.36714,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,132.5829,-3.2954,222.5829,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,162.8649,-4.61158,252.8649,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,192.281,-5.2201900000000006,282.281,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,219.1984,-7.501239999999999,309.1984,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,246.0416,-9.43592,336.0416,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,279.045,-10.1188,369.045,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,306.1851,-13.4389,396.1851,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,334.4631,-15.4033,424.4631,0.426,4.624
125,e_037_03,auto,C 152.4x406.4,,0.426,4.624,404.0,90.0,0.0,0.0,358.5849,-17.9713,448.5849,0.426,4.624
